Species,phylo,habitat,hab_name,mass_norm,mass_scaled,mass,group,latitude,lat_sd,Elevation,el_sd,Aridity_index_annual_mean,ar_sd,Precip_annual_seasonality_ratio,pas_sd,Precip_wettest_month,pwm_sd,Temperature_annual_mean,temp_sd,Temperature_annual_range,tar_sd,Precip_annual_mean,pam_sd,Species_with_numbers,l_el,el_lsd,l_ar,ar_lsd,l_pam,pam_lsd,l_pas,pas_lsd,l_pwm,pwm_lsd,l_temp,temp_lsd,l_tar,tar_lsd,l_npp,npp_lsd,npp,npp_sd
Leggadina_forresti,Leggadina_forresti,1,Arid,0.018600326,0.148148148,20,1,-28.168988,2.731001429,146.537112,133.8694765,0.068984984,0.05609418,2.200514962,2.169039326,32.20813313,32.89830573,21.63252362,1.63425138,33.56325747,1.938058402,15.76241207,10.35820943,Leggadina_forresti_ABTC107348,4.713139,0.748917,-2.821725,0.3281953,2.630648,0.3176878,0.5793641,0.3676884,3.238235,0.4331543,3.065109,0.1009078,3.511821,0.09688443,0.05606729,0.2208871,0.8051347,0.6131119
Leggadina_lakedownensis,Leggadina_lakedownensis,2,Monsoon,0.016740293,0.133333333,18,1,-17.71235756,2.789930381,313.6067864,243.9940509,0.338213922,0.205357025,10.11685454,5.437160358,187.537601,83.88892896,25.68498024,1.954110823,28.85307785,6.735733814,20.15865923,6.388722416,Leggadina_lakedownensis_ABTC07406,5.329021,1.163423,-1.297712,0.6885641,4.019455,0.4949115,2.102068,0.7338958,5.123216,0.5387751,3.233883,0.1621905,3.328078,0.2717096,1.245875,0.7451064,4.474201,3.095157
Mastacomys_fuscus,Mastacomys_fuscus,3,Mesic,0.111601953,0.888888889,120,2,-36.83998858,2.150435382,1232.888889,518.5795443,3.418043948,1.677092523,0.761022577,0.225900293,193.1784153,55.65039872,8.330776794,2.637302689,21.25344424,2.531988673,13.57612537,3.239315622,Mastacomys_fuscus_ABTC07354,6.945336,0.819685,1.117786,0.493736,4.91026,0.273228,-0.2949721,0.21459,5.22912,0.3077614,2.061463,0.3269145,3.0453,0.1489634,2.414793,0.3404201,11.76915,3.345099
Notomys_alexis,Notomys_alexis,1,Arid,0.03255057,0.259259259,35,8,-25.20718499,3.323968689,346.1293679,185.7364747,0.087181223,0.036123345,2.777547286,2.222660325,47.07117206,26.92502425,22.29952862,2.048999569,34.4142203,2.853207497,12.57558309,2.349154506,Notomys_alexis_ABTC61767,5.619085,0.8235317,-2.498335,0.2887098,2.955977,0.2801964,0.769981,0.7088347,3.70776,0.5100326,3.099434,0.09844849,3.534726,0.09737629,0.1581266,0.3293137,1.253754,0.6107823
Notomys_aquilo,Notomys_aquilo,2,Monsoon,0.037200651,0.296296296,40,8,-13.8102174,0.500454396,20.86813187,17.30096154,0.520392172,0.036167316,3.894109122,0.779565577,237.2956614,8.694875297,26.62533334,0.175886331,16.89881607,1.373741416,22.49210524,4.508531327,Notomys_aquilo_ABTC18252,2.717562,0.9912749,-0.7414143,0.647711,4.458191,0.2700229,1.315569,0.3009284,5.424812,0.3459303,3.169867,0.8177898,2.780267,0.3384854,1.723378,0.2239261,5.734177,1.17352
Notomys_cervinus,Notomys_cervinus,1,Arid,0.03255057,0.259259259,35,8,-25.75852867,1.133835958,98.33333333,131.6140366,0.052806035,0.014930732,2.096782955,0.441585624,27.83940843,10.17956749,23.11597222,1.162571973,35.61204027,1.534192835,38.79238332,14.37300902,Notomys_cervinus_ABTC27130,3.939697,0.4773887,-3.044695,0.3986586,2.558704,0.2037697,0.7679108,0.2409448,3.297214,0.3457633,3.137789,0.31991,3.555429,0.4084866,0,0.01,1,0.01
Notomys_fuscus,Notomys_fuscus,1,Arid,0.03255057,0.259259259,35,8,-28.98661972,1.833714106,60.4125,60.50033617,0.0534159,0.012078188,1.729065952,0.443749505,24.20385384,7.632393472,21.36283333,1.515773281,32.50849729,2.262345699,38.98570515,7.936573994,Notomys_fuscus_ABTC117695,3.59026,1.083696,-2.971099,0.2658164,2.502644,0.1841798,0.5167093,0.2321841,3.137278,0.2801696,3.055091,0.1238488,3.475671,0.1177916,0.00296851,0.04531224,1.004283,0.06537174
Notomys_mitchelli,Notomys_mitchelli,1,Arid,0.046500814,0.37037037,50,8,-32.5425855,1.540989283,163.0631912,80.47384818,0.193871517,0.07924126,0.771604869,0.439036908,30.51242744,10.65812096,17.44930722,0.975609834,25.37819891,2.185065326,12.88295565,3.619371879,Notomys_mitchelli_ABTC07351,4.964121,0.5537654,-1.721478,0.40923,3.092933,0.1907608,-0.2992156,0.2635293,3.367745,0.2943681,2.855354,0.09142136,3.227756,0.09964021,1.252642,0.3906172,3.758611,1.381547
Pseudomys_albocinereus,Pseudomys_albocinereus,1,Arid,0.027900488,0.222222222,30,5,-29.95964221,2.460376719,196.232381,138.3499335,0.39775861,0.201513698,0.317577948,1.595778838,94.87359999,40.80867864,18.92980072,1.741277969,24.92417041,2.832476809,16.90041917,3.459130945,Pseudomys_albocinereus_ABTC08044,4.888208,1.17089,-1.077119,0.5531333,3.58389,0.3937292,-1.311724,0.5027266,4.454844,0.506389,2.932269,0.1595988,3.20367,0.1598288,1.561643,0.4991063,5.35119,2.501228
Pseudomys_apodemoides,Pseudomys_apodemoides,1,Arid,0.018600326,0.148148148,20,5,-36.15623722,0.562594228,91.83649724,49.08265237,0.531210549,0.142904636,0.585613954,0.268746579,58.68758185,16.6329848,15.11555419,0.552478645,24.04136347,1.99573525,25.87898965,2.917140044,Pseudomys_apodemoides_ABTC37663,4.310243,0.7464496,-0.6702882,0.2779362,3.642136,0.2068189,-0.5501375,0.1930829,4.032384,0.2886374,2.710739,0.1317776,3.173579,0.1141785,1.807143,0.3113797,6.401177,2.15133
Pseudomys_australis,Pseudomys_australis,1,Arid,0.060451058,0.481481481,65,2,-28.37786318,1.977572192,123.8312946,55.28210092,0.057373505,0.059134114,1.628986532,0.267171456,23.26292379,7.242773375,21.29204893,1.052024882,33.5951631,1.556073795,23.50277777,9.280020115,Pseudomys_australis_ABTC118844,4.729586,0.4514756,-2.903469,0.2112902,2.535521,0.1584028,0.4722902,0.178935,3.115634,0.2150861,3.05423,0.1077807,3.510517,0.1039064,0.03477447,0.2113731,1.077375,0.5573279
Pseudomys_bolami,Pseudomys_bolami,1,Arid,0.013950244,0.111111111,15,3,-31.65110355,1.298108368,144.3096854,107.535497,0.111019565,0.045783621,1.145090698,0.268289919,23.63547124,3.176777599,18.70838988,1.208719579,29.26756504,1.817173883,21.79977578,0.194051025,Pseudomys_bolami_ABTC08065,4.752855,0.6836675,-2.285895,0.4248558,2.805484,0.207366,0.1076348,0.2428597,3.153194,0.1369591,2.923563,0.1135576,3.371427,0.1079719,0.4771761,0.552538,1.894073,1.140094
Pseudomys_chapmani,Pseudomys_chapmani,1,Arid,0.011160195,0.088888889,12,9,-22.47096774,0.785950406,517.6359447,214.1041161,0.096899633,0.011697664,2.435299041,0.436233789,69.36409862,9.706710812,24.85852535,1.197860474,36.70476063,1.639161374,19.24479564,5.766597265,Pseudomys_chapmani_ABTC62178,6.121796,0.7056892,-2.381217,0.478565,3.231517,0.2018508,0.852927,0.2789315,4.220566,0.201388,3.185573,0.2828372,3.575406,0.2762098,0,0.01,1,0.01
Pseudomys_delicatulus,Pseudomys_delicatulus,2,Monsoon,0.007905138,0.062962963,8.5,3,-17.84098752,5.963396553,166.9971042,174.6888657,0.478186445,0.225664824,8.476755953,5.452328828,219.8470546,99.26112377,25.24946931,3.348646165,25.25416404,6.195969522,47.77672985,22.90465809,Pseudomys_delicatulus_ABTC62035,4.396717,1.425724,-0.8860218,0.6004641,4.296314,0.4640263,1.841101,0.851049,5.267241,0.5454108,3.217324,0.1549991,3.196032,0.2602551,1.552339,0.6318728,5.688111,3.556589
Pseudomys_desertor,Pseudomys_desertor,1,Arid,0.027900488,0.222222222,30,6,-24.5621434,3.895341655,348.7263798,222.1063981,0.11008836,0.09430966,3.192407655,2.248547286,56.34898623,29.58858752,22.81778921,2.59121569,34.86187709,2.999612522,31.00271283,3.758319032,Pseudomys_desertor_ABTC113870,5.516394,1.086712,-2.413289,0.5345126,3.067028,0.3984034,0.9374962,0.6705493,3.873112,0.5629685,3.118963,0.1317455,3.548127,0.1110001,0.1578862,0.3316833,1.257022,0.6405866
Pseudomys_fieldi,Pseudomys_fieldi,1,Arid,0.041850732,0.333333333,45,4,-24.77036667,0.697929273,468.8888889,243.6383679,0.108036803,0.027845842,1.82753736,2.106292185,44.66666667,11.36270703,21.13333333,0.309120617,31.66006489,4.736633796,61.75610579,27.60207747,Pseudomys_fieldi_ABTC08164,5.894121,2.063792,-2.676778,1.358901,2.289917,2.037665,0.1522052,1.008063,3.772454,0.5296928,2.364138,1.762824,3.268591,0.5271135,0.2310491,0.3465736,1.333333,0.5
Pseudomys_fumeus,Pseudomys_fumeus,3,Mesic,0.055800977,0.444444444,60,5,-37.27001093,0.431185597,620.4371002,344.7905374,1.800666199,0.939051798,0.79629351,0.325601048,134.9908697,38.42086097,11.81918977,1.950401682,21.74082898,1.46283693,89.33678964,6.964982317,Pseudomys_fumeus_ABTC08168,6.148528,1.07357,0.4634236,0.4997661,4.546771,0.2391562,-0.2698639,0.2939392,4.869851,0.303326,2.446677,0.2100191,3.06608,0.1773117,2.544071,0.3128725,13.25941,3.269782
Pseudomys_gracilicaudatus,Pseudomys_gracilicaudatus,3,Mesic,0.065101139,0.518518519,70,7,-26.25500012,5.658191485,205.7302956,268.7538107,0.597656537,0.278167693,6.832335277,5.39121426,198.549286,75.2293686,22.28917271,4.222204991,24.07958831,4.237204443,80.66437865,32.5318776,Pseudomys_gracilicaudatus_ABTC08031,4.573693,2.012831,-0.4502086,0.454924,4.475876,0.3257613,0.9091009,0.6757678,5.155777,0.3553485,2.966584,0.1659847,3.08146,0.1790652,2.325328,0.4287529,11.14815,4.410702
Pseudomys_hermannsburgensis,Pseudomys_hermannsburgensis,1,Arid,0.013950244,0.111111111,15,3,-25.25682812,2.944994781,323.2544288,214.4197174,0.080968143,0.025747496,2.440747953,1.626343254,43.06602965,23.11756067,22.54609632,2.051115571,34.56887856,2.811101969,72.34211686,28.34459121,Pseudomys_hermannsburgensis_ABTC91375,5.37687,1.109209,-2.564993,0.3278221,2.91205,0.3034468,0.7365459,0.5421275,3.636332,0.4937767,3.110986,0.09590795,3.53883,0.0931599,0.2501617,0.3804127,1.395687,0.6687483
Pseudomys_higginsi,Pseudomys_higginsi,3,Mesic,0.060451058,0.481481481,65,4,-41.81935767,0.598270117,585.4802632,312.6218283,3.398143882,1.207835279,0.654182423,0.20748076,200.1782849,55.82094374,8.798801743,2.04718989,17.01899332,1.604791616,79.93751026,27.72757504,Pseudomys_higginsi_ABTC08139,6.088087,1.035554,1.151797,0.3885001,4.898254,0.3360772,-0.4479657,0.2508515,5.256504,0.3491633,2.140668,0.2568741,2.820885,0.169619,2.418174,0.3200197,11.69758,2.770813
Pseudomys_johnsoni,Pseudomys_johnsoni,1,Arid,0.011160195,0.088888889,12,9,-18.24804967,2.198630314,318.2535211,105.9731189,0.215181804,0.155512013,9.81150726,4.028769921,143.6420186,72.60386763,25.89248826,1.003580401,34.09925867,3.103133827,108.3840351,4.43436801,Pseudomys_johnsoni_ABTC08055,5.69397,0.522373,-1.744974,0.6229997,3.780459,0.4609412,2.188265,0.454429,4.868404,0.5389927,3.22342,0.3128415,3.506972,0.2084309,0.4174227,0.4766678,1.712042,0.9036834
Pseudomys_nanus,Pseudomys_nanus,2,Monsoon,0.051150895,0.407407407,55,7,-15.85170642,2.279033018,169.1292009,136.2117324,0.38505464,0.202378701,13.10130937,4.423331531,218.421914,75.77930911,26.96304241,1.021717864,29.4011496,5.263531012,65.26624431,2.546995799,Pseudomys_nanus_ABTC08056,4.607199,1.270821,-1.123129,0.6251482,4.196415,0.4464811,2.487552,0.4888947,5.315767,0.4243606,3.289457,0.1338059,3.361815,0.1970824,1.039893,0.5881286,3.370906,2.387781
Pseudomys_novaehollandiae,Pseudomys_novaehollandiae,3,Mesic,0.019065334,0.151851852,20.5,3,-34.39887718,2.987855194,97.49562842,197.699252,0.855841543,0.178069322,1.120148281,0.325462107,120.2224087,41.18656771,16.56334095,1.809561797,20.87412943,1.935674516,24.85368698,2.830692213,Pseudomys_novaehollandiae_ABTC08140,3.236489,1.702116,-0.1804504,0.2318224,4.417528,0.3207291,0.08045017,0.2475431,4.721172,0.3943484,2.798915,0.1289273,3.032187,0.1132324,2.465776,0.3901914,12.63755,4.496458
